journal,unit,year,count,topics
ACM Transactions on Sensor Networks,College of Engineering,2005,1,[Networking & Telecommunications]
ACS Applied Materials and Interfaces,College of Engineering,2009,2,[Nanoscience & Nanotechnology]
ACS Applied Materials and Interfaces,College of Agriculture and Life Sciences,2010,1,[Nanoscience & Nanotechnology]
ACS Applied Materials and Interfaces,College of Engineering,2011,1,[Nanoscience & Nanotechnology]
ACS Applied Materials and Interfaces,College of Engineering,2012,1,[Nanoscience & Nanotechnology]
ACS Applied Materials and Interfaces,College of Engineering,2013,1,[Nanoscience & Nanotechnology]
ACS Applied Materials and Interfaces,College of Agriculture and Life Sciences,2014,1,[Nanoscience & Nanotechnology]
ACS Applied Materials and Interfaces,College of Engineering,2015,3,[Nanoscience & Nanotechnology]
ACS Central Science,College of Arts and Sciences,2015,1,[]
ACS Chemical Biology,College of Agriculture and Life Sciences,2006,1,[Organic Chemistry]
ACS Chemical Biology,College of Arts and Sciences,2006,1,[Organic Chemistry]
ACS Chemical Biology,College of Agriculture and Life Sciences,2007,1,[Organic Chemistry]
ACS Chemical Biology,College of Arts and Sciences,2008,1,[Organic Chemistry]
ACS Chemical Biology,College of Arts and Sciences,2012,1,[Organic Chemistry]
ACS Macro Letters,College of Engineering,2012,1,[Polymer Science]
ACS Macro Letters,College of Arts and Sciences,2013,1,[Polymer Science]
ACS Macro Letters,College of Engineering,2015,2,[Polymer Science]
ACS nano,College of Engineering,2008,3,[Nanoscience & Nanotechnology]
ACS nano,College of Engineering,2009,2,[Nanoscience & Nanotechnology]
ACS nano,College of Engineering,2010,2,[Nanoscience & Nanotechnology]
ACS nano,College of Agriculture and Life Sciences,2010,1,[Nanoscience & Nanotechnology]
ACS nano,College of Arts and Sciences,2010,1,[Nanoscience & Nanotechnology]
ACS nano,College of Engineering,2011,3,[Nanoscience & Nanotechnology]
ACS nano,College of Engineering,2012,6,[Nanoscience & Nanotechnology]
ACS nano,College of Engineering,2013,4,[Nanoscience & Nanotechnology]
ACS nano,College of Agriculture and Life Sciences,2013,1,[Nanoscience & Nanotechnology]
ACS nano,College of Engineering,2014,6,[Nanoscience & Nanotechnology]
ACS nano,College of Arts and Sciences,2014,1,[Nanoscience & Nanotechnology]
ACS nano,College of Engineering,2015,1,[Nanoscience & Nanotechnology]
ACS nano,College of Engineering,2016,1,[Nanoscience & Nanotechnology]
ACS Photonics,College of Engineering,2016,5,"[Physics, Applied]"
ACS Synthetic Biology,College of Agriculture and Life Sciences,2013,1,[Biochemical Research Methods]
ACS Synthetic Biology,College of Engineering,2014,1,[Biochemical Research Methods]
Acta Agriculturae Scandinavica,College of Agriculture and Life Sciences,1990,1,[]
"Acta Agriculturae Scandinavica, Section B - Plant Soil Science",College of Agriculture and Life Sciences,2007,1,[Agronomy & Agriculture]
"Acta Agriculturae Scandinavica, Section B - Plant Soil Science",College of Agriculture and Life Sciences,2010,1,[Agronomy & Agriculture]
Acta Biologica Colombiana,College of Agriculture and Life Sciences,2012,1,[]
Acta biomaterialia,College of Engineering,2010,1,[Biomedical Engineering]
Acta biomaterialia,College of Engineering,2012,2,[Biomedical Engineering]
Acta biomaterialia,College of Engineering,2013,4,[Biomedical Engineering]
Acta biomaterialia,College of Engineering,2014,1,[Biomedical Engineering]
Acta biomaterialia,College of Engineering,2015,2,[Biomedical Engineering]
Acta Crystallographica,College of Engineering,1996,1,[Inorganic & Nuclear Chemistry]
Acta Crystallographica,College of Arts and Sciences,1999,1,[Inorganic & Nuclear Chemistry]
Acta Crystallographica,College of Arts and Sciences,2003,1,[Inorganic & Nuclear Chemistry]
Acta Crystallographica,College of Arts and Sciences,2005,1,[Inorganic & Nuclear Chemistry]
Acta Crystallographica,College of Arts and Sciences,2008,1,[Inorganic & Nuclear Chemistry]
Acta Crystallographica,College of Arts and Sciences,2013,1,[Inorganic & Nuclear Chemistry]
Acta Crystallographica Section C,College of Agriculture and Life Sciences,1995,1,[Inorganic & Nuclear Chemistry]
ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE,College of Agriculture and Life Sciences,2005,1,[Inorganic & Nuclear Chemistry]
ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE,College of Agriculture and Life Sciences,2006,1,[Inorganic & Nuclear Chemistry]
"Acta crystallographica. Section D, Biological crystallography",College of Arts and Sciences,2001,1,[Biophysics]
"Acta crystallographica. Section D, Biological crystallography",College of Arts and Sciences,2002,1,[Biophysics]
"Acta crystallographica. Section D, Biological crystallography",College of Arts and Sciences,2003,1,[Biophysics]
"Acta crystallographica. Section D, Biological crystallography",College of Engineering,2005,1,[Biophysics]
"Acta crystallographica. Section D, Biological crystallography",College of Arts and Sciences,2005,2,[Biophysics]
"Acta crystallographica. Section D, Biological crystallography",College of Arts and Sciences,2006,1,[Biophysics]
"Acta crystallographica. Section D, Biological crystallography",College of Arts and Sciences,2010,1,[Biophysics]
"Acta crystallographica. Section D, Biological crystallography",College of Arts and Sciences,2011,3,[Biophysics]
"Acta crystallographica. Section D, Biological crystallography",College of Arts and Sciences,2012,2,[Biophysics]
ACTA INFORMATICA,Cornell SC Johnson College of Business,1997,1,[Computation Theory & Mathematics]
Acta Linguistica Hungarica,College of Arts and Sciences,2008,4,[Linguistics]
ACTA MATERIALIA,College of Engineering,1996,1,[Materials]
ACTA MATERIALIA,College of Engineering,1997,1,[Materials]
ACTA MATERIALIA,College of Engineering,1999,1,[Materials]
ACTA MATERIALIA,College of Engineering,2000,2,[Materials]
ACTA MATERIALIA,College of Engineering,2001,1,[Materials]
ACTA MATERIALIA,College of Engineering,2003,2,[Materials]
ACTA MATERIALIA,College of Engineering,2006,1,[Materials]
ACTA MATERIALIA,College of Engineering,2009,1,[Materials]
ACTA MATERIALIA,College of Engineering,2010,3,[Materials]
ACTA MATERIALIA,College of Engineering,2011,1,[Materials]
ACTA MATERIALIA,College of Engineering,2014,2,[Materials]
ACTA MATERIALIA,College of Engineering,2015,1,[Materials]
Acta Mechanica,College of Engineering,1978,1,[Mechanical Engineering & Transports]
Acta Mechanica,College of Arts and Sciences,1978,1,[Mechanical Engineering & Transports]
Acta Mechanica,College of Engineering,1990,1,[Mechanical Engineering & Transports]
Acta Mechanica,College of Arts and Sciences,1990,1,[Mechanical Engineering & Transports]
Acta Mechanica Sinica,College of Engineering,2012,1,[Mechanical Engineering & Transports]
Acta Metallurgica,College of Engineering,1989,1,[]
Acta Metallurgica et Materialia,College of Engineering,1992,2,[]
Acta Metallurgica et Materialia,College of Engineering,1993,1,[]
Acta Metallurgica et Materialia,College of Engineering,1994,2,[]
Acta Metallurgica et Materialia,College of Engineering,1995,1,[]
Acta Neuropathologica Communications,College of Agriculture and Life Sciences,2013,1,[]
Acta Neuropathologica Communications,College of Agriculture and Life Sciences,2016,1,[]
Acta Neuropathologica Communications,College of Agriculture and Life Sciences,2017,1,[]
Acta Oecologia äóñ Oecologia Generalis,College of Agriculture and Life Sciences,1987,1,[]
Acta Oecologica,College of Agriculture and Life Sciences,1998,1,[Ecology]
Acta Ornithologica,College of Agriculture and Life Sciences,1997,1,[Ornithology]
Acta Ornithologica,College of Agriculture and Life Sciences,2010,1,[Ornithology]
Acta Ornithologica,College of Agriculture and Life Sciences,2014,1,[Ornithology]
Acta orthopaedica Scandinavica. Supplementum,College of Engineering,1995,1,[Orthopedics]
"Acta paediatrica (Oslo, Norway : 1992)",College of Agriculture and Life Sciences,2015,1,[Pediatrics]
"Acta paediatrica (Oslo, Norway : 1992)",Cornell SC Johnson College of Business,2015,1,[Pediatrics]
Acta Petrologica Sinica,College of Engineering,2002,1,[Energy]
Acta Physica Polonica A,College of Engineering,2005,1,[General Physics]
Acta Physica Polonica A,College of Engineering,2013,1,[General Physics]
Acta Phytopathologica Sinica,College of Agriculture and Life Sciences,1995,1,[]
Acta Psychologica,College of Arts and Sciences,2014,1,[Experimental Psychology]
Acta Societatis Botanicorum Poloniae,College of Agriculture and Life Sciences,1990,1,[Plant Biology & Botany]
Acta Societatis Botanicorum Poloniae,College of Agriculture and Life Sciences,2014,1,[Plant Biology & Botany]
Acta Theriologica,College of Agriculture and Life Sciences,1988,1,[Ecology]
Acta Theriologica,College of Agriculture and Life Sciences,2005,1,[Ecology]
Acta Theriologica,College of Agriculture and Life Sciences,2007,2,[Ecology]
Acta Theriologica,College of Agriculture and Life Sciences,2009,1,[Ecology]
Acta Theriologica,College of Agriculture and Life Sciences,2010,1,[Ecology]
Acta Theriologica,College of Agriculture and Life Sciences,2012,2,[Ecology]
Acta tropica,College of Agriculture and Life Sciences,2005,1,[Tropical Medicine]
Acta Veterinaria Hungarica,College of Agriculture and Life Sciences,2007,1,[Veterinary Sciences]
Acta Zoologica (Stockholm),College of Agriculture and Life Sciences,1992,1,[Evolutionary Biology]
Acta Zoological Bulgarica,College of Agriculture and Life Sciences,2016,1,[Zoology]
Actuel Marx,College of Arts and Sciences,2011,1,[]
Addiction,College of Agriculture and Life Sciences,2016,1,[Substance Abuse]
ADE [Association of Departments of English] Bulletin,College of Arts and Sciences,2003,1,[]
ADFL (American Departments of Foreign Languages) Bulletin,College of Arts and Sciences,2011,1,[]
Administrative Science Quarterly,Cornell SC Johnson College of Business,2005,1,[Business & Management]
Administrative Science Quarterly,Cornell SC Johnson College of Business,2007,1,[Business & Management]
Administrative Science Quarterly,Cornell SC Johnson College of Business,2009,2,[Business & Management]
Administrative Science Quarterly,College of Arts and Sciences,2009,1,[Business & Management]
Administrative Science Quarterly,Cornell SC Johnson College of Business,2013,1,[Business & Management]
Adult Education Quarterly,College of Agriculture and Life Sciences,2011,1,[Education]
Adult Learning,College of Agriculture and Life Sciences,1999,1,[]
Adv. Biosci.,College of Agriculture and Life Sciences,1975,1,[]
Advanced drug delivery reviews,College of Engineering,2011,1,[Pharmacology & Pharmacy]
Advanced drug delivery reviews,College of Engineering,2014,3,[Pharmacology & Pharmacy]
Advanced Energy Materials,College of Engineering,2012,5,"[Physics, Applied]"
Advanced Energy Materials,College of Engineering,2014,5,"[Physics, Applied]"
Advanced Energy Materials,College of Engineering,2015,10,"[Physics, Applied]"
ADVANCED ENGINEERING MATERIALS,College of Engineering,2016,1,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2002,1,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2005,2,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2006,3,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2007,1,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2010,1,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2011,2,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2012,3,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2013,2,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2014,3,[Materials]
ADVANCED FUNCTIONAL MATERIALS,College of Engineering,2016,1,[Materials]
Advanced healthcare materials,College of Agriculture and Life Sciences,2013,3,"[Materials Science, Biomaterials]"
Advanced healthcare materials,College of Engineering,2014,3,"[Materials Science, Biomaterials]"
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,1995,2,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,1996,1,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,1997,2,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,1999,1,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2002,1,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2003,4,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2004,2,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Agriculture and Life Sciences,2004,1,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2005,2,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2006,3,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Agriculture and Life Sciences,2006,1,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2007,1,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2008,8,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2009,3,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Agriculture and Life Sciences,2010,1,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2011,4,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Agriculture and Life Sciences,2011,1,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2012,3,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2013,4,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2014,2,[Nanoscience & Nanotechnology]
"Advanced materials (Deerfield Beach, Fla.)",College of Engineering,2015,1,[Nanoscience & Nanotechnology]
ADVANCED MATERIALS INTERFACES,College of Engineering,2014,2,"[Chemistry, Multidisciplinary]"
Advances in Agronomy,College of Agriculture and Life Sciences,1991,1,[Agronomy & Agriculture]
Advances in Agronomy,College of Agriculture and Life Sciences,2007,2,[Agronomy & Agriculture]
"ADVANCES IN APPLIED MICROBIOLOGY, VOL 74",College of Agriculture and Life Sciences,2009,1,[Microbiology]
"ADVANCES IN APPLIED MICROBIOLOGY, VOL 74",College of Agriculture and Life Sciences,2011,1,[Microbiology]
Advances in Applied Probability,College of Engineering,1979,1,[Statistics & Probability]
Advances in Applied Probability,College of Engineering,1982,1,[Statistics & Probability]
Advances in Applied Probability,College of Engineering,1988,1,[Statistics & Probability]
Advances in Applied Probability,Computing and Information Science,1988,1,[Statistics & Probability]
Advances in Applied Probability,College of Engineering,1989,1,[Statistics & Probability]
Advances in Applied Probability,Computing and Information Science,1989,1,[Statistics & Probability]
Advances in Applied Probability,College of Engineering,1997,1,[Statistics & Probability]
Advances in Applied Probability,Computing and Information Science,1997,1,[Statistics & Probability]
Advances in Applied Probability,College of Engineering,2004,1,[Statistics & Probability]
